cod_entite,typ_entite,lib_entite,long_wgs84,lat_wgs84,x_centroid,y_centroid,cod_versio,dpt,id,nom,hdf_sociodemographie-hdf_sociodemographie_menrp,hdf_sociodemographie-hdf_sociodemographie_pop_mun
"6244200",QLM,HERNICOURT,2.299907237000000,50.421309503600000,597342.408900890033692,2602921.021147899795324,"2021","62","1",Projet,"208","567"
"6244300",QLM,HERSIN COUPIGNY,2.652527381300000,50.447543090899998,622439.722898270003498,2605889.215972200036049,"2021","62","1",Projet,"2494","6245"
"6244500",QLM,HESDIGNEUL LES BETHUNE,2.590461062700000,50.501129385500001,618003.247185109998100,2611845.889701200183481,"2021","62","1",Projet,"344","822"
"6244700",QLM,HESDIN,2.038551924200000,50.374021187700002,578712.045651910011657,2597690.658522800542414,"2021","62","1",Projet,"1075","2225"
"6244900",QLM,HESMOND,1.949580135600000,50.457446131200001,572416.562718849978410,2607015.980417299550027,"2021","62","1",Projet,"68","165"
"6245000",QLM,HESTRUS,2.331167773700000,50.449313336199999,599568.625681439996697,2606041.527124200481921,"2021","62","1",Projet,"98","243"
"6245100",QLM,HEUCHIN,2.269052080300000,50.476476270399999,595150.632603480014950,2609071.123807999771088,"2021","62","1",Projet,"223","529"
"6245300",QLM,HEZECQUES,2.177376216100000,50.532255733200003,588642.472133670002222,2615297.949197299778461,"2021","62","1",Projet,"45","122"
"6245400",QLM,HINGES,2.626481646300000,50.568432631900002,620536.471794579876587,2619356.845762600190938,"2021","62","1",Projet,"1002","2452"
"6245600",QLM,HOUCHIN,2.621081443200000,50.483225742999998,620187.367840499966405,2609857.768933000043035,"2021","62","1",Projet,"296","718"
"6245700",QLM,HOUDAIN,2.543633980600000,50.457184493900002,614686.997756749973632,2606938.082580699585378,"2021","62","1",Projet,"3047","7246"
"6245900",QLM,HOUVIN HOUVIGNEUL,2.379628103000000,50.296795685100001,603026.595866539981216,2589045.109727799892426,"2021","62","1",Projet,"97","232"
"6246100",QLM,HUBY SAINT LEU,2.035856644600000,50.382660739899997,578523.634758349973708,2598654.219587400089949,"2021","62","1",Projet,"365","886"
"6246200",QLM,HUCLIER,2.355420054400000,50.429437467699998,601295.113008850021288,2603826.416792499832809,"2021","62","1",Projet,"46","137"
"6246500",QLM,HUMBERCAMPS,2.574064826600000,50.185439377700000,616943.585284049971960,2576661.896444100420922,"2021","62","1",Projet,"95","218"
"6246700",QLM,HUMEROEUILLE,2.211793954000000,50.404923707099996,591065.195487090037204,2601101.321600299794227,"2021","62","1",Projet,"74","176"
"6246800",QLM,HUMIERES,2.207827097300000,50.388541030200003,590779.628858170006424,2599275.970958900172263,"2021","62","1",Projet,"102","229"
"6247000",QLM,INCOURT,2.151192005700000,50.389882465699998,586744.531514600035734,2599433.566682900302112,"2021","62","1",Projet,"37","86"
"6247300",QLM,ISBERGUES,2.460871386600000,50.615988708899998,608770.080049509997480,2624627.358955800067633,"2021","62","1",Projet,"3870","8845"
"6247500",QLM,IVERGNY,2.392388905000000,50.238570018799997,603942.063133300049230,2582557.639898699708283,"2021","62","1",Projet,"94","259"
"6247700",QLM,IZEL LES HAMEAU,2.535595298300000,50.314511571300002,614155.125436980044469,2591036.317265099845827,"2021","62","1",Projet,"283","727"
"6247900",QLM,LABEUVRIERE,2.564917983700000,50.520460822600000,616181.052966749994084,2613995.094929100014269,"2021","62","1",Projet,"667","1645"
"6248000",QLM,LABOURSE,2.681563601200000,50.498908851800003,624481.131785430014133,2611623.005837899632752,"2021","62","1",Projet,"1023","2847"
"6248100",QLM,LABROYE,1.989016353200000,50.279123134899997,575134.612474889960140,2587130.085811300203204,"2021","62","1",Projet,"71","165"
"6248500",QLM,LAIRES,2.255040518200000,50.540085486300001,594161.418670739978552,2616162.222201500087976,"2021","62","1",Projet,"130","364"
"6248600",QLM,LAMBRES,2.400887837300000,50.619066836700000,604515.103675459977239,2624965.441407099831849,"2021","62","1",Projet,"433","1061"
"6248900",QLM,LAPUGNOY,2.534447936600000,50.514736851599999,614017.258430539979599,2613351.218100999947637,"2021","62","1",Projet,"1479","3459"
"6249000",QLM,LATTRE SAINT QUENTIN,2.579956370100000,50.288689360600003,617329.545558189973235,2588167.742310099769384,"2021","62","1",Projet,"105","267"
"6249200",QLM,LEBIEZ,1.979914580300000,50.465928225900001,574579.313601489993744,2607951.132286699488759,"2021","62","1",Projet,"94","250"
"6250000",QLM,LESPESSES,2.422864955800000,50.556716531100001,606081.442005299963057,2618016.348739500157535,"2021","62","1",Projet,"174","405"
"6250700",QLM,LIENCOURT,2.451138305700000,50.272275748500000,608135.221017700037919,2586317.894247599877417,"2021","62","1",Projet,"112","291"
"6250800",QLM,LIERES,2.415493836800000,50.550966612600000,605558.618977449950762,2617374.853854800108820,"2021","62","1",Projet,"142","380"
"6250900",QLM,LIETTRES,2.341772877400000,50.595416852400000,600322.423136999947019,2622327.141111300326884,"2021","62","1",Projet,"112","327"
"6251006",QLM,LIEVIN Q06,2.755868569700000,50.427752773199998,629806.185793629963882,2603717.882434600032866,"2021","62","1",Projet,"2135","5564"
"6251100",QLM,LIGNEREUIL,2.471559642100000,50.290145568299998,609590.277933559962548,2588311.447494199965149,"2021","62","1",Projet,"58","137"
"6251200",QLM,LIGNY LES AIRE,2.345258572300000,50.560371916699999,600570.168243019958027,2618420.537137100007385,"2021","62","1",Projet,"236","598"
"6251300",QLM,LIGNY SUR CANCHE,2.264126936200000,50.282224831900002,594780.177594859967940,2587423.057996300049126,"2021","62","1",Projet,"89","194"
"6251400",QLM,LIGNY SAINT FLOCHEL,2.427571790600000,50.359781739799999,606440.928080489975400,2596067.021023000124842,"2021","62","1",Projet,"102","258"
"6251600",QLM,LILLERS,2.479336553500000,50.561386796100003,610090.838606950012036,2618542.760972699616104,"2021","62","1",Projet,"4197","9931"
"6251700",QLM,LINGHEM,2.372501885500000,50.595090899399999,602502.979558189981617,2622291.357045200187713,"2021","62","1",Projet,"87","205"
"6251800",QLM,LINZEUX,2.202670264600000,50.341945833200000,590403.296187900006771,2594083.882441400084645,"2021","62","1",Projet,"59","153"
"6251900",QLM,LISBOURG,2.217518218300000,50.507233626800002,591490.304703579982743,2612503.768735100049525,"2021","62","1",Projet,"240","591"
